spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
32133,6064,197944,484,422,2544,10105,18875,18772,42875,38069,33173292,26882533,11,331801,30705,7429,18418232,243.74,133713,509735203,Kisiel1939,"1214,44"
920,0,1641,147,17,822,76,357,386,860,760,65103,158185,6,4086,250,0,111702,0.0,0,619133599,RenamedUser_1085478,"129,90"
953,0,7525,277,9,1365,436,753,800,1827,1562,486043,743306,8,16377,702,2653,432404,132.13,4316,535016396,Rudzielec103,"497,91"
1149,0,6810,251,31,1299,422,881,870,3525,1782,525640,821446,7,11517,1100,2194,448109,150.77,972,501114360,menco,"562,54"
568,0,1598,135,7,669,68,314,357,847,678,46527,176259,5,3490,135,684,91445,53.38,858,630568606,odinokiy_volk_581,"60,75"
6916,12,38167,279,48,1541,1455,3594,3704,7822,7346,2755718,3614247,8,68984,4222,3732,2046102,149.57,22049,595200848,x136us,"704,38"
447,0,1183,153,12,1423,117,313,347,622,672,92344,170666,5,3077,251,0,102569,0.0,0,501516091,cachapool,"219,65"
11033,0,67549,483,110,2255,2050,4016,3422,4161,7548,6993907,6074673,7,116647,6785,7839,3646461,349.38,47222,551865598,InertiaDoriftoJBP,"1649,81"
1558,0,10771,279,16,1314,584,944,847,2318,1807,723525,624041,6,22109,1513,2564,504887,206.78,387,504265847,Duri92,"976,29"
8317,28,58046,508,153,2345,3270,5678,6640,14573,12471,10131088,13393821,9,81053,7002,6811,6341488,261.01,34985,603117749,______Maverick_______,"830,98"
9268,13,50556,480,125,2112,2599,5097,5128,5576,10350,9970801,11754546,8,73275,6927,5896,4965163,364.92,34498,501689209,LaMore,"1043,25"
4323,104,17384,559,27,2496,812,1844,1824,1779,3695,2658262,3104371,8,27421,2552,6170,2066047,355.64,12173,544627753,Fetter_Mogelbaum,"1038,48"
20764,646,101998,414,219,2264,4978,11013,11080,13371,22312,19103399,21348015,9,167909,15924,6254,9241963,291.3,66546,655457043,vetal1989tanks,"1026,64"
2640,0,15956,246,55,1594,784,1819,2222,6038,4096,1116245,2278970,5,30795,1666,2769,1005999,154.96,8187,510981988,marshmalo_n3,"339,34"
25759,717,150142,618,299,2523,8013,14372,13385,21653,28056,29201090,23336420,10,275462,25807,8176,17327941,341.33,96627,505526571,Arvid_1981_VG,"1441,85"
7592,47,46546,469,94,2317,2295,4254,3918,9331,8266,8775106,7297934,8,65825,7803,6705,3879472,280.05,32911,624768501,StarDyglas,"1531,42"
512,97,3550,289,14,1500,212,510,543,1397,1067,252142,380694,4,9975,440,2076,308312,86.43,1616,596731206,xShamaNxNTx,"396,83"
5049,132,23455,286,111,2082,1524,3134,3516,2235,6761,2735042,3693311,7,65398,3353,4874,1931852,255.21,11101,654889805,TARANTUL3000,"569,69"
1921,0,6723,148,20,916,760,1558,1993,5111,3571,398868,1161306,4,13102,903,1561,528691,61.84,4368,549270082,lucanial76,"62,66"
25882,2546,113853,389,398,1934,7216,13676,15228,33015,29302,21694890,26650456,9,190332,17282,7069,11405320,315.65,72553,595719323,roman9824,"816,10"
301,0,1756,100,17,498,228,274,294,1156,585,17774,60474,3,9904,111,0,58563,0.0,0,501125005,frej73,"53,08"
